"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2022","2.7350","2.9375","2.9400","2.7500","","-6.34%"
"06/01/2022","2.9200","2.9575","3.0300","2.8800","","-0.68%"
"05/01/2022","2.9400","3.0475","3.0635","2.8400","","-2.97%"
"04/01/2022","3.0300","3.0525","3.0950","3.0070","","-0.16%"
"03/01/2022","3.0350","3.1700","3.4500","3.0475","","-3.65%"
"02/01/2022","3.1500","3.0425","3.2050","2.8925","","4.13%"
"01/01/2022","3.0250","3.0855","3.1000","3.0400","","-1.94%"
"12/01/2021","3.0850","3.1225","3.1300","3.0660","","-0.64%"
"11/01/2021","3.1050","3.1520","3.1700","3.0830","","-0.94%"
"10/01/2021","3.1345","3.1095","3.1575","3.1095","","1.37%"
"09/01/2021","3.0920","3.1075","3.1200","3.0994","","0.06%"
"08/01/2021","3.0900","3.1075","3.1311","3.0757","","0.00%"
"07/01/2021","3.0900","3.1625","3.1628","3.0794","","-1.75%"
"06/01/2021","3.1450","3.2575","3.2575","3.0400","","-2.93%"
"05/01/2021","3.2400","3.4578","3.4602","3.2517","","-5.82%"
"04/01/2021","3.4403","3.4175","3.4662","3.4032","","1.19%"
"03/01/2021","3.4000","3.3275","3.4600","3.3080","","2.72%"
"02/01/2021","3.3100","3.3063","3.3360","3.2808","","0.15%"
"01/01/2021","3.3050","3.2840","3.3187","3.2690","","1.18%"
"12/01/2020","3.2665","3.3328","3.3331","3.2597","","-1.47%"
"11/01/2020","3.3153","3.2402","3.4300","3.2370","","2.87%"
"10/01/2020","3.2227","3.1775","3.2426","3.1775","","1.98%"
"09/01/2020","3.1600","3.0805","3.3616","3.0650","","3.37%"
"08/01/2020","3.0569","3.0894","3.1102","3.0594","","-0.43%"
"07/01/2020","3.0700","3.0740","3.0993","3.0440","","0.64%"
"06/01/2020","3.0504","3.1866","3.1950","2.9371","","-4.10%"
"05/01/2020","3.1809","3.2180","3.2305","3.1350","","-0.61%"
"04/01/2020","3.2005","3.2980","3.3080","3.1100","","-2.96%"
"03/01/2020","3.2982","2.7875","3.5471","2.7875","","19.07%"
"02/01/2020","2.7700","2.8930","2.8932","2.7840","","-3.69%"
"01/01/2020","2.8760","2.8600","2.9015","2.8575","","1.09%"
"12/01/2019","2.8450","2.9680","2.9765","2.8250","","-3.82%"
"11/01/2019","2.9580","2.9650","2.9895","2.9520","","0.36%"
